data_date,security_id,d2
20100507,33181401,-36.391
20100507,33441701,126.729
20100507,33473801,-10.746
20100507,33629601,45.016
20100507,33719201,-45.42
20100507,34163501,148.3
20100507,34778701,-7.856
20100507,34840601,184.377
20100507,34950501,1316
20100507,35433401,429.899
20100507,36167801,91.12
20100507,1090211801,37.246
20100507,1091289901,580
20100507,1091340701,NA
20100507,1092037601,NA
20100507,1092204901,290.364
20100507,1092205601,NA
20100507,1092210401,7.1197
20100507,1092318701,NA
20100507,1092398801,NA
20100507,1092450301,-22.075
20100507,1092527901,NA
20100507,1092856901,NA
20100507,1092881301,NA
20100510,83801,10.239
20100510,102501,93
20100510,244801,-12.837
20100510,358801,1.0986
20100510,476001,NA
20100510,618001,-0.1435
20100510,622101,51.8335
20100510,629901,-139.161
20100510,662601,-0.733
20100510,679901,-12.6353
20100510,876001,15.8
20100510,906101,9783
20100510,906201,9783
20100510,949101,0.1271
20100510,1120801,244.2
20100510,1126101,0.6336
20100510,1310001,110.785
20100510,1371901,-146.686
20100510,1383901,-0.5502
20100510,1421601,318.583
20100510,1462801,-3.286
20100510,1612201,-655.768
20100510,1613301,-2597.1
20100510,1681201,60.9635
20100510,1733001,-32.812
20100510,1795301,-17.75
20100510,1971201,15.6115
20100510,2168601,81.011
20100510,2297601,31.078
20100510,2315701,-696
20100510,2377501,426.71
20100510,2428701,6.578
20100510,2572601,4.6521
20100510,2695101,7.847
20100510,2997901,-52.315
20100510,3115101,-192.235
20100510,3211601,-50.2626
20100510,3252301,1.76
20100510,3285301,-62.112
20100510,3311501,NA
20100510,3409601,-8.2628
20100510,3429701,569
20100510,3453801,-19.709
20100510,3536101,-236.471
20100510,3710201,-23.463
20100510,3725001,-8.197
20100510,3959301,-11.82
20100510,4509401,11.707
20100510,4540201,11.562
20100510,4549001,99.729
20100510,4650501,86.47
20100510,4719301,263
20100510,4759801,-28.0706
20100510,4972801,3.219
20100510,5042801,51.076
20100510,5203201,26.965
20100510,5218401,-14.1873
20100510,5245001,-5.3449
20100510,5336001,-10.6953
20100510,5343001,-1234
20100510,5360401,-190.393
20100510,5428601,9.6244
20100510,5506601,-296
20100510,6000501,-4.976
20100510,6817801,38.139
20100510,7069601,137.079
20100510,7080301,-13.942
20100510,7350601,-3.525
20100510,7474301,-15.333
20100510,7515901,148.108
20100510,7521501,177.262
20100510,7613001,-14.614
20100510,7643701,347.102
20100510,7745101,1.9183
20100510,7823001,-32.369
20100510,7858401,-12.3795
20100510,8091001,NA
20100510,8098401,12.507
20100510,8198901,16.005
20100510,8208101,2.142
20100510,8275201,2.758
20100510,8293001,4.231
20100510,8308501,-42.4292
20100510,8452001,NA
20100510,9359601,-2.105
20100510,11486301,-6.628
20100510,15447201,-48.1772
20100510,16067401,901.3
20100510,26531401,-344.031
20100510,26931101,-38.0456
20100510,29548201,330.554
20100510,30634401,-655.768
20100510,32559901,NA
20100510,1091250401,20.023
20100510,1091301701,NA
20100510,1092928001,NA
20100511,82901,20.245
20100511,152501,-14.598
20100511,164401,-14.753
20100511,174901,-6.927
20100511,214901,-7.1511
20100511,249301,-21.883
20100511,293901,-8.502
20100511,299401,3.164
20100511,373101,-11.766
20100511,449101,-77.4585
